n,k,t,lambda,mu,lib_id,members,source_method
38,18,9,8,9,1,10 12 14 16 17 18 20 21 22 25 26 27 29 30 31 33 35 37,exhaustive
38,18,9,8,9,1,10 12 14 16 18 19 20 22 23 24 25 27 28 29 31 33 35 37,exhaustive
38,18,9,8,9,1,10 12 14 16 18 20 21 22 23 24 25 26 27 29 31 33 35 37,exhaustive
38,18,9,8,9,1,10 12 15 16 17 21 22 24 26 27 28 29 30 31 32 33 35 37,exhaustive
38,18,9,8,9,1,10 12 17 18 19 20 22 24 25 26 27 28 29 30 31 33 35 37,exhaustive
38,18,9,8,9,1,10 13 14 16 17 19 22 25 26 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,10 13 14 17 18 21 22 25 26 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,10 13 16 19 20 22 23 25 26 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,10 13 18 20 21 22 23 25 26 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,10 14 15 18 19 22 23 24 26 27 28 29 30 31 32 33 35 37,exhaustive
38,18,9,8,9,1,10 14 16 18 19 20 22 23 24 25 26 27 28 29 31 33 35 37,exhaustive
38,18,9,8,9,1,10 14 17 18 20 21 22 24 25 26 27 28 29 30 31 33 35 37,exhaustive
38,18,9,8,9,1,10 15 16 18 21 22 23 24 26 27 28 29 30 31 32 33 35 37,exhaustive
38,18,9,8,9,1,11 12 13 14 15 16 17 18 19 20 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 15 16 17 18 19 30 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 15 16 17 18 21 22 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 15 16 17 18 21 28 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 15 16 18 19 23 26 30 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 15 16 18 21 23 26 28 31 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 15 16 19 20 23 24 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 15 16 21 22 23 24 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 16 17 18 19 24 25 30 31 32 33 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 16 17 18 21 24 25 28 31 32 33 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 16 18 19 23 24 25 26 30 31 33 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 16 18 21 23 24 25 26 28 31 33 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 17 18 19 20 25 26 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 17 18 21 22 25 26 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 19 20 23 24 25 26 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 13 14 21 22 23 24 25 26 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 14 15 16 17 18 19 22 27 30 31 32 33 34 35 37 38,exhaustive
38,18,9,8,9,1,11 12 14 15 16 17 18 21 22 27 28 31 32 33 34 35 37 38,exhaustive
38,18,9,8,9,1,11 12 14 15 16 18 19 22 23 26 27 30 31 33 34 35 37 38,exhaustive
38,18,9,8,9,1,11 12 14 15 16 18 21 22 23 26 27 28 31 33 34 35 37 38,exhaustive
38,18,9,8,9,1,11 12 14 16 17 18 19 22 24 25 27 30 31 32 33 35 37 38,exhaustive
38,18,9,8,9,1,11 12 14 16 17 18 21 22 24 25 27 28 31 32 33 35 37 38,exhaustive
38,18,9,8,9,1,11 12 14 16 18 19 22 23 24 25 26 27 30 31 33 35 37 38,exhaustive
38,18,9,8,9,1,11 12 14 16 18 21 22 23 24 25 26 27 28 31 33 35 37 38,exhaustive
38,18,9,8,9,1,11 12 14 17 18 20 21 22 24 25 27 28 31 33 34 35 37 38,exhaustive
38,18,9,8,9,1,11 12 15 16 17 18 19 20 27 28 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 15 16 17 18 21 22 27 28 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 15 16 19 20 23 24 27 28 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 15 16 21 22 23 24 27 28 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 16 17 21 22 25 26 27 28 30 31 32 33 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 17 18 19 20 25 26 27 28 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 17 18 21 22 25 26 27 28 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 19 20 23 24 25 26 27 28 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,11 12 21 22 23 24 25 26 27 28 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,12 13 14 15 16 17 18 19 20 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 15 16 17 18 19 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 15 16 17 18 20 21 28 29 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 15 16 17 20 21 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 15 16 18 19 20 23 26 29 30 31 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 15 16 18 20 21 23 26 28 29 31 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 15 18 19 22 23 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 15 20 21 22 23 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 16 17 18 19 20 24 25 29 30 31 32 33 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 16 17 18 20 21 24 25 28 29 31 32 33 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 16 18 19 20 23 24 25 26 29 30 31 33 35 36 37,exhaustive
38,18,9,8,9,1,12 13 14 16 18 20 21 23 24 25 26 28 29 31 33 35 36 37,exhaustive
38,18,9,8,9,1,12 13 16 17 18 19 24 25 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 16 17 20 21 24 25 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 18 19 22 23 24 25 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 13 20 21 22 23 24 25 28 29 30 31 32 33 34 35 36 37,exhaustive
38,18,9,8,9,1,12 14 15 16 17 18 19 20 22 27 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,12 14 15 16 17 18 20 21 22 27 28 29 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,12 14 15 16 17 19 24 26 27 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,12 14 15 16 18 19 20 22 23 26 27 29 30 31 33 34 35 37,exhaustive
38,18,9,8,9,1,12 14 15 16 18 20 21 22 23 26 27 28 29 31 33 34 35 37,exhaustive
38,18,9,8,9,1,12 14 15 17 18 21 24 26 27 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,12 14 16 17 18 19 20 22 24 25 27 29 30 31 32 33 35 37,exhaustive
38,18,9,8,9,1,12 14 16 17 18 20 21 22 24 25 27 28 29 31 32 33 35 37,exhaustive
38,18,9,8,9,1,12 14 16 18 19 20 22 23 24 25 26 27 29 30 31 33 35 37,exhaustive
38,18,9,8,9,1,12 14 16 18 20 21 22 23 24 25 26 27 28 29 31 33 35 37,exhaustive
38,18,9,8,9,1,12 14 17 19 20 22 24 25 26 27 28 29 30 31 32 33 35 37,exhaustive
38,18,9,8,9,1,12 15 16 19 20 23 24 26 27 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,12 15 18 20 21 23 24 26 27 28 29 30 31 32 33 34 35 37,exhaustive
38,18,9,8,9,1,12 16 17 20 21 22 24 25 26 27 28 29 30 31 32 33 35 37,exhaustive
38,18,9,8,9,1,12 16 18 19 20 22 23 24 25 26 27 28 29 30 31 33 35 37,exhaustive
38,18,9,8,9,1,13 14 15 16 17 18 19 20 22 29 31 32 33 34 35 36 37 38,exhaustive
38,18,9,8,9,1,13 14 15 16 17 18 19 20 29 30 31 32 33 34 35 36 37 38,exhaustive
