n,k,t,lambda,mu,lib_id,members,source_method
22,10,5,4,5,1,2 3 5 9 10 11 12 16 17 18,exhaustive
22,10,5,4,5,1,2 3 5 9 10 11 16 17 18 22,exhaustive
22,10,5,4,5,1,2 3 5 9 10 12 13 16 17 20,exhaustive
22,10,5,4,5,1,2 3 5 9 10 13 14 17 18 22,exhaustive
22,10,5,4,5,1,2 3 6 11 14 15 17 19 20 22,exhaustive
22,10,5,4,5,1,2 3 6 7 10 11 14 15 18 19,exhaustive
22,10,5,4,5,1,2 3 6 7 10 11 14 15 19 20,exhaustive
22,10,5,4,5,1,2 3 6 7 10 11 15 16 19 20,exhaustive
22,10,5,4,5,1,2 3 6 7 11 12 15 16 19 20,exhaustive
22,10,5,4,5,1,2 3 6 7 12 13 14 15 18 19,exhaustive
22,10,5,4,5,1,2 3 6 7 12 13 15 16 18 19,exhaustive
22,10,5,4,5,1,2 3 6 7 12 13 15 16 19 22,exhaustive
22,10,5,4,5,1,2 3 6 7 8 13 14 15 18 19,exhaustive
22,10,5,4,5,1,2 3 6 7 8 9 10 11 18 19,exhaustive
22,10,5,4,5,1,2 3 6 7 8 9 12 13 18 19,exhaustive
22,10,5,4,5,1,2 3 6 7 9 11 12 19 20 22,exhaustive
22,10,5,4,5,1,2 3 6 7 9 12 13 18 19 22,exhaustive
22,10,5,4,5,1,2 3 6 8 10 11 15 16 17 19,exhaustive
22,10,5,4,5,1,2 3 6 8 9 13 14 17 19 20,exhaustive
22,10,5,4,5,1,2 3 6 9 10 12 13 17 18 19,exhaustive
22,10,5,4,5,1,2 3 6 9 10 13 16 17 19 22,exhaustive
22,10,5,4,5,1,2 3 6 9 12 13 17 18 19 20,exhaustive
22,10,5,4,5,1,2 3 7 8 10 13 14 15 19 20,exhaustive
22,10,5,4,5,1,2 3 7 8 11 12 15 16 19 20,exhaustive
22,10,5,4,5,1,2 3 7 8 12 13 14 15 19 20,exhaustive
22,10,5,4,5,1,2 3 7 8 12 13 15 18 19 20,exhaustive
22,10,5,4,5,1,2 3 7 8 12 13 15 18 19 22,exhaustive
22,10,5,4,5,1,2 3 7 8 9 11 12 14 16 19,exhaustive
22,10,5,4,5,1,2 3 7 8 9 11 16 18 19 20,exhaustive
22,10,5,4,5,1,2 3 7 8 9 12 13 14 18 19,exhaustive
22,10,5,4,5,1,2 3 7 8 9 13 14 18 19 20,exhaustive
22,10,5,4,5,1,2 3 7 9 10 11 12 14 18 19,exhaustive
22,10,5,4,5,1,2 3 7 9 10 11 16 19 20 22,exhaustive
22,10,5,4,5,1,2 3 8 10 11 12 15 16 17 19,exhaustive
22,10,5,4,5,1,2 3 8 10 12 13 14 15 17 19,exhaustive
22,10,5,4,5,1,2 3 8 11 15 16 17 19 20 22,exhaustive
22,10,5,4,5,1,2 3 8 13 15 17 18 19 20 22,exhaustive
22,10,5,4,5,1,2 3 8 9 10 11 16 17 18 19,exhaustive
22,10,5,4,5,1,2 3 8 9 10 11 16 17 19 22,exhaustive
22,10,5,4,5,1,2 3 8 9 10 13 14 17 18 19,exhaustive
22,10,5,4,5,1,2 3 8 9 11 14 16 17 19 22,exhaustive
22,10,5,4,5,1,2 3 8 9 12 13 16 17 18 19,exhaustive
22,10,5,4,5,1,2 3 8 9 13 14 16 17 19 20,exhaustive
22,10,5,4,5,1,2 3 8 9 13 14 17 18 19 22,exhaustive
22,10,5,4,5,1,2 4 11 15 16 17 19 20 21 22,exhaustive
22,10,5,4,5,1,2 4 13 15 17 18 19 20 21 22,exhaustive
22,10,5,4,5,1,2 4 5 12 13 15 17 18 21 22,exhaustive
22,10,5,4,5,1,2 4 5 6 10 13 15 16 17 21,exhaustive
22,10,5,4,5,1,2 4 5 6 13 14 15 17 20 21,exhaustive
22,10,5,4,5,1,2 4 5 6 7 8 9 11 14 21,exhaustive
22,10,5,4,5,1,2 4 5 6 7 8 9 11 18 21,exhaustive
22,10,5,4,5,1,2 4 5 6 7 9 10 13 18 21,exhaustive
22,10,5,4,5,1,2 4 5 6 7 9 11 12 21 22,exhaustive
22,10,5,4,5,1,2 4 5 6 7 9 11 16 21 22,exhaustive
22,10,5,4,5,1,2 4 5 6 7 9 12 13 20 21,exhaustive
22,10,5,4,5,1,2 4 5 7 10 11 15 16 20 21,exhaustive
22,10,5,4,5,1,2 4 5 7 10 12 13 15 18 21,exhaustive
22,10,5,4,5,1,2 4 5 7 10 13 15 16 18 21,exhaustive
22,10,5,4,5,1,2 4 5 7 8 11 12 15 18 21,exhaustive
22,10,5,4,5,1,2 4 5 7 8 9 13 16 21 22,exhaustive
22,10,5,4,5,1,2 4 5 7 9 10 11 20 21 22,exhaustive
22,10,5,4,5,1,2 4 5 7 9 10 13 18 21 22,exhaustive
22,10,5,4,5,1,2 4 5 7 9 11 14 20 21 22,exhaustive
22,10,5,4,5,1,2 4 5 8 11 14 15 17 20 21,exhaustive
22,10,5,4,5,1,2 4 5 8 13 14 15 17 21 22,exhaustive
22,10,5,4,5,1,2 4 5 8 9 11 14 17 18 21,exhaustive
22,10,5,4,5,1,2 4 5 9 10 11 14 17 20 21,exhaustive
22,10,5,4,5,1,2 4 6 10 11 15 17 19 21 22,exhaustive
22,10,5,4,5,1,2 4 6 11 15 17 18 19 21 22,exhaustive
22,10,5,4,5,1,2 4 6 13 15 17 19 20 21 22,exhaustive
22,10,5,4,5,1,2 4 6 7 9 11 14 16 19 21,exhaustive
22,10,5,4,5,1,2 4 6 8 10 13 15 17 19 21,exhaustive
22,10,5,4,5,1,2 4 6 8 11 12 15 17 19 21,exhaustive
22,10,5,4,5,1,2 4 6 8 11 15 17 19 20 21,exhaustive
22,10,5,4,5,1,2 4 6 8 13 15 17 19 21 22,exhaustive
22,10,5,4,5,1,2 4 6 9 10 13 14 17 19 21,exhaustive
22,10,5,4,5,1,2 4 6 9 11 12 14 17 19 21,exhaustive
22,10,5,4,5,1,2 4 6 9 11 16 17 18 19 21,exhaustive
22,10,5,4,5,1,2 4 6 9 13 16 17 19 20 21,exhaustive
22,10,5,4,5,1,2 4 7 10 13 15 18 19 20 21,exhaustive
22,10,5,4,5,1,2 4 7 11 12 15 16 19 20 21,exhaustive
22,10,5,4,5,1,2 4 7 12 13 15 18 19 20 21,exhaustive
22,10,5,4,5,1,2 4 7 8 10 13 15 16 19 21,exhaustive
22,10,5,4,5,1,2 4 7 8 10 13 15 18 19 21,exhaustive
22,10,5,4,5,1,2 4 7 8 11 12 15 16 19 21,exhaustive
22,10,5,4,5,1,2 4 7 8 9 13 14 16 19 21,exhaustive
22,10,5,4,5,1,2 4 7 9 10 13 14 16 19 21,exhaustive
22,10,5,4,5,1,2 4 7 9 11 12 14 16 19 21,exhaustive
22,10,5,4,5,1,2 4 7 9 11 12 14 19 21 22,exhaustive
22,10,5,4,5,1,2 4 7 9 12 13 14 18 19 21,exhaustive
22,10,5,4,5,1,2 4 7 9 12 13 14 19 20 21,exhaustive
22,10,5,4,5,1,2 4 8 11 15 17 19 20 21 22,exhaustive
22,10,5,4,5,1,2 4 8 9 12 13 17 19 21 22,exhaustive
22,10,5,4,5,1,2 4 9 10 11 12 14 17 19 21,exhaustive
22,10,5,4,5,1,2 4 9 10 11 12 17 19 21 22,exhaustive
22,10,5,4,5,1,2 4 9 11 14 16 17 18 19 21,exhaustive
22,10,5,4,5,1,2 4 9 11 14 16 17 19 21 22,exhaustive
22,10,5,4,5,1,2 4 9 13 14 17 18 19 21 22,exhaustive
22,10,5,4,5,1,2 5 10 12 13 14 15 17 18 21,exhaustive
22,10,5,4,5,1,2 5 10 13 15 16 17 20 21 22,exhaustive
22,10,5,4,5,1,2 5 6 11 12 15 17 18 21 22,exhaustive
22,10,5,4,5,1,2 5 6 12 13 15 17 20 21 22,exhaustive
22,10,5,4,5,1,2 5 6 7 10 11 12 15 18 21,exhaustive
22,10,5,4,5,1,2 5 6 7 10 11 15 16 21 22,exhaustive
22,10,5,4,5,1,2 5 6 7 11 12 15 18 20 21,exhaustive
22,10,5,4,5,1,2 5 6 7 8 11 14 15 20 21,exhaustive
22,10,5,4,5,1,2 5 6 7 8 9 10 13 16 21,exhaustive
22,10,5,4,5,1,2 5 6 7 9 13 14 20 21 22,exhaustive
22,10,5,4,5,1,2 5 6 8 10 13 15 17 18 21,exhaustive
22,10,5,4,5,1,2 5 6 8 11 12 15 17 18 21,exhaustive
22,10,5,4,5,1,2 5 6 8 9 11 14 17 18 21,exhaustive
22,10,5,4,5,1,2 5 6 9 10 13 14 17 18 21,exhaustive
22,10,5,4,5,1,2 5 6 9 10 13 14 17 20 21,exhaustive
22,10,5,4,5,1,2 5 6 9 10 13 16 17 20 21,exhaustive
22,10,5,4,5,1,2 5 6 9 11 12 14 17 18 21,exhaustive
22,10,5,4,5,1,2 5 6 9 11 12 16 17 18 21,exhaustive
22,10,5,4,5,1,2 5 6 9 11 12 16 17 21 22,exhaustive
22,10,5,4,5,1,2 5 6 9 12 13 16 17 20 21,exhaustive
22,10,5,4,5,1,2 5 7 8 10 11 14 15 18 21,exhaustive
22,10,5,4,5,1,2 5 7 8 10 13 15 16 18 21,exhaustive
22,10,5,4,5,1,2 5 7 8 10 13 15 16 21 22,exhaustive
22,10,5,4,5,1,2 5 7 8 11 12 15 16 18 21,exhaustive
22,10,5,4,5,1,2 5 7 8 11 14 15 16 20 21,exhaustive
22,10,5,4,5,1,2 5 7 8 11 14 15 18 21 22,exhaustive
22,10,5,4,5,1,2 5 7 8 13 14 15 16 21 22,exhaustive
22,10,5,4,5,1,2 5 7 8 9 10 11 12 14 21,exhaustive
22,10,5,4,5,1,2 5 7 8 9 10 12 13 16 21,exhaustive
22,10,5,4,5,1,2 5 7 8 9 11 18 20 21 22,exhaustive
22,10,5,4,5,1,2 5 7 8 9 13 16 20 21 22,exhaustive
22,10,5,4,5,1,2 5 7 9 10 13 14 16 18 21,exhaustive
22,10,5,4,5,1,2 5 7 9 10 13 16 18 20 21,exhaustive
22,10,5,4,5,1,2 5 7 9 11 12 14 16 18 21,exhaustive
22,10,5,4,5,1,2 5 7 9 11 12 18 20 21 22,exhaustive
22,10,5,4,5,1,2 5 8 11 12 14 15 17 18 21,exhaustive
22,10,5,4,5,1,2 5 8 11 14 15 17 18 20 21,exhaustive
22,10,5,4,5,1,2 5 8 12 13 14 15 16 17 21,exhaustive
22,10,5,4,5,1,2 5 8 13 15 16 17 18 20 21,exhaustive
22,10,5,4,5,1,2 5 8 9 10 11 14 17 20 21,exhaustive
22,10,5,4,5,1,2 5 8 9 11 12 14 17 20 21,exhaustive
22,10,5,4,5,1,2 5 8 9 11 12 17 18 20 21,exhaustive
22,10,5,4,5,1,2 5 8 9 11 12 17 18 21 22,exhaustive
22,10,5,4,5,1,2 5 8 9 12 13 16 17 20 21,exhaustive
22,10,5,4,5,1,2 6 11 15 17 18 19 20 21 22,exhaustive
22,10,5,4,5,1,2 6 7 10 11 12 15 19 20 21,exhaustive
22,10,5,4,5,1,2 6 7 10 11 14 15 16 19 21,exhaustive
22,10,5,4,5,1,2 6 7 10 11 14 15 19 21 22,exhaustive
22,10,5,4,5,1,2 6 7 10 11 15 18 19 20 21,exhaustive
22,10,5,4,5,1,2 6 7 11 14 15 16 19 20 21,exhaustive
22,10,5,4,5,1,2 6 7 8 11 15 16 19 20 21,exhaustive
22,10,5,4,5,1,2 6 7 8 13 14 15 19 21 22,exhaustive
22,10,5,4,5,1,2 6 7 8 13 15 16 19 21 22,exhaustive
22,10,5,4,5,1,2 6 7 8 9 13 16 18 19 21,exhaustive
22,10,5,4,5,1,2 6 7 9 12 13 14 19 21 22,exhaustive
22,10,5,4,5,1,2 6 8 10 11 12 15 17 19 21,exhaustive
22,10,5,4,5,1,2 6 8 9 10 13 17 19 20 21,exhaustive
22,10,5,4,5,1,2 6 9 10 12 13 14 17 19 21,exhaustive
22,10,5,4,5,1,2 6 9 10 13 17 19 20 21 22,exhaustive
22,10,5,4,5,1,2 6 9 13 16 17 18 19 20 21,exhaustive
22,10,5,4,5,1,2 7 10 11 12 15 16 19 20 21,exhaustive
22,10,5,4,5,1,2 7 10 11 14 15 18 19 21 22,exhaustive
22,10,5,4,5,1,2 7 10 12 13 15 16 18 19 21,exhaustive
22,10,5,4,5,1,2 7 10 13 15 16 18 19 21 22,exhaustive
22,10,5,4,5,1,2 7 8 10 13 14 15 16 19 21,exhaustive
22,10,5,4,5,1,2 7 8 13 15 16 18 19 21 22,exhaustive
22,10,5,4,5,1,2 7 8 9 10 13 18 19 20 21,exhaustive
22,10,5,4,5,1,2 7 8 9 12 13 14 19 21 22,exhaustive
22,10,5,4,5,1,2 7 9 10 11 12 14 19 21 22,exhaustive
22,10,5,4,5,1,2 7 9 10 11 12 19 20 21 22,exhaustive
22,10,5,4,5,1,2 7 9 10 12 13 16 19 21 22,exhaustive
22,10,5,4,5,1,2 7 9 10 12 13 18 19 21 22,exhaustive
22,10,5,4,5,1,2 8 9 10 11 12 17 19 21 22,exhaustive
22,10,5,4,5,1,2 8 9 10 11 17 19 20 21 22,exhaustive
22,10,5,4,5,1,2 9 11 12 14 16 17 19 21 22,exhaustive
22,10,5,4,5,1,2 9 11 12 14 17 19 20 21 22,exhaustive
22,10,5,4,5,1,2 9 12 13 14 16 17 19 20 21,exhaustive
22,10,5,4,5,1,2 9 12 13 16 17 19 20 21 22,exhaustive
22,10,5,4,5,1,3 10 12 13 14 15 16 17 19 22,exhaustive
22,10,5,4,5,1,3 10 13 15 16 17 18 19 20 22,exhaustive
22,10,5,4,5,1,3 4 10 11 12 14 15 17 18 19,exhaustive
22,10,5,4,5,1,3 4 10 12 13 14 15 16 17 19,exhaustive
22,10,5,4,5,1,3 4 11 12 15 16 17 18 19 20,exhaustive
22,10,5,4,5,1,3 4 11 12 15 17 18 19 20 22,exhaustive
22,10,5,4,5,1,3 4 13 14 15 16 17 18 19 20,exhaustive
22,10,5,4,5,1,3 4 5 10 11 12 15 17 20 22,exhaustive
22,10,5,4,5,1,3 4 5 6 10 11 15 16 17 18,exhaustive
22,10,5,4,5,1,3 4 5 6 11 12 15 16 17 18,exhaustive
22,10,5,4,5,1,3 4 5 6 11 14 15 16 17 20,exhaustive
22,10,5,4,5,1,3 4 5 6 11 14 15 16 17 22,exhaustive
22,10,5,4,5,1,3 4 5 6 13 14 15 16 17 18,exhaustive
22,10,5,4,5,1,3 4 5 6 7 12 13 14 15 16,exhaustive
22,10,5,4,5,1,3 4 5 6 7 13 15 16 18 20,exhaustive
22,10,5,4,5,1,3 4 5 6 7 8 11 12 15 16,exhaustive
22,10,5,4,5,1,3 4 5 6 7 8 11 15 18 22,exhaustive
22,10,5,4,5,1,3 4 5 6 7 8 13 14 15 16,exhaustive
22,10,5,4,5,1,3 4 5 6 7 8 13 15 18 20,exhaustive
22,10,5,4,5,1,3 4 5 6 7 8 9 10 11 12,exhaustive
22,10,5,4,5,1,3 4 5 6 7 8 9 10 13 14,exhaustive
22,10,5,4,5,1,3 4 5 6 7 8 9 10 13 22,exhaustive
22,10,5,4,5,1,3 4 5 6 8 13 15 16 17 18,exhaustive
22,10,5,4,5,1,3 4 5 6 9 10 11 12 17 18,exhaustive
22,10,5,4,5,1,3 4 5 6 9 10 11 12 17 20,exhaustive
22,10,5,4,5,1,3 4 5 6 9 10 13 14 17 18,exhaustive
22,10,5,4,5,1,3 4 5 6 9 11 12 17 20 22,exhaustive
22,10,5,4,5,1,3 4 5 6 9 11 14 17 20 22,exhaustive
22,10,5,4,5,1,3 4 5 6 9 13 14 17 18 22,exhaustive
22,10,5,4,5,1,3 4 5 7 11 14 15 16 18 22,exhaustive
22,10,5,4,5,1,3 4 5 7 8 10 11 12 15 22,exhaustive
22,10,5,4,5,1,3 4 5 7 8 11 12 14 15 16,exhaustive
22,10,5,4,5,1,3 4 5 7 8 11 15 18 20 22,exhaustive
22,10,5,4,5,1,3 4 5 7 8 9 10 12 13 14,exhaustive
22,10,5,4,5,1,3 4 5 7 9 13 16 18 20 22,exhaustive
22,10,5,4,5,1,3 4 5 8 10 11 15 17 18 20,exhaustive
22,10,5,4,5,1,3 4 5 8 9 10 13 17 18 22,exhaustive
22,10,5,4,5,1,3 4 5 8 9 12 13 14 17 22,exhaustive
22,10,5,4,5,1,3 4 5 8 9 12 13 16 17 18,exhaustive
22,10,5,4,5,1,3 4 5 8 9 12 13 17 20 22,exhaustive
22,10,5,4,5,1,3 4 5 8 9 13 16 17 18 22,exhaustive
22,10,5,4,5,1,3 4 5 9 10 11 12 16 17 18,exhaustive
22,10,5,4,5,1,3 4 5 9 11 12 14 17 18 20,exhaustive
22,10,5,4,5,1,3 4 5 9 12 13 14 17 18 22,exhaustive
22,10,5,4,5,1,3 4 6 7 10 13 15 16 19 20,exhaustive
22,10,5,4,5,1,3 4 6 7 12 13 15 16 19 22,exhaustive
22,10,5,4,5,1,3 4 6 7 8 9 11 12 18 19,exhaustive
22,10,5,4,5,1,3 4 6 7 8 9 11 16 19 22,exhaustive
22,10,5,4,5,1,3 4 6 7 9 10 13 16 19 22,exhaustive
22,10,5,4,5,1,3 4 6 8 10 13 15 16 17 19,exhaustive
22,10,5,4,5,1,3 4 6 8 10 13 15 17 19 20,exhaustive
22,10,5,4,5,1,3 4 6 8 11 12 15 17 19 20,exhaustive
22,10,5,4,5,1,3 4 6 8 11 14 15 17 19 22,exhaustive
22,10,5,4,5,1,3 4 6 9 10 13 14 17 19 20,exhaustive
22,10,5,4,5,1,3 4 6 9 11 12 14 17 19 20,exhaustive
22,10,5,4,5,1,3 4 6 9 11 12 17 18 19 20,exhaustive
22,10,5,4,5,1,3 4 6 9 12 13 17 18 19 22,exhaustive
22,10,5,4,5,1,3 4 7 10 11 14 15 18 19 22,exhaustive
22,10,5,4,5,1,3 4 7 10 12 13 15 16 19 22,exhaustive
22,10,5,4,5,1,3 4 7 10 13 14 15 16 19 22,exhaustive
22,10,5,4,5,1,3 4 7 10 13 14 15 19 20 22,exhaustive
22,10,5,4,5,1,3 4 7 8 10 13 15 16 19 20,exhaustive
22,10,5,4,5,1,3 4 7 8 11 12 15 16 19 20,exhaustive
22,10,5,4,5,1,3 4 7 8 11 12 15 16 19 22,exhaustive
22,10,5,4,5,1,3 4 7 8 11 12 15 18 19 22,exhaustive
22,10,5,4,5,1,3 4 7 8 11 14 15 18 19 22,exhaustive
22,10,5,4,5,1,3 4 7 8 13 14 15 16 19 20,exhaustive
22,10,5,4,5,1,3 4 7 8 13 14 15 18 19 20,exhaustive
22,10,5,4,5,1,3 4 7 8 9 10 11 12 19 20,exhaustive
22,10,5,4,5,1,3 4 7 8 9 10 13 14 19 20,exhaustive
22,10,5,4,5,1,3 4 7 9 10 11 14 16 18 19,exhaustive
22,10,5,4,5,1,3 4 7 9 10 11 18 19 20 22,exhaustive
22,10,5,4,5,1,3 4 7 9 10 13 14 16 19 20,exhaustive
22,10,5,4,5,1,3 4 7 9 10 13 16 19 20 22,exhaustive
22,10,5,4,5,1,3 4 7 9 11 12 14 16 19 20,exhaustive
22,10,5,4,5,1,3 4 8 10 11 12 15 17 18 19,exhaustive
22,10,5,4,5,1,3 4 8 9 10 13 16 17 19 22,exhaustive
22,10,5,4,5,1,3 4 8 9 12 13 14 17 19 20,exhaustive
22,10,5,4,5,1,3 4 8 9 13 14 17 19 20 22,exhaustive
22,10,5,4,5,1,3 4 9 10 11 12 17 18 19 20,exhaustive
22,10,5,4,5,1,3 4 9 10 12 13 16 17 19 20,exhaustive
22,10,5,4,5,1,3 4 9 10 13 14 17 18 19 20,exhaustive
22,10,5,4,5,1,3 4 9 10 13 16 17 18 19 22,exhaustive
22,10,5,4,5,1,3 5 6 10 11 12 15 17 20 22,exhaustive
22,10,5,4,5,1,3 5 6 7 10 11 14 15 16 18,exhaustive
22,10,5,4,5,1,3 5 6 7 8 10 11 14 15 18,exhaustive
22,10,5,4,5,1,3 5 6 7 8 10 13 15 16 18,exhaustive
22,10,5,4,5,1,3 5 6 7 8 10 13 15 20 22,exhaustive
22,10,5,4,5,1,3 5 6 7 8 13 14 15 16 18,exhaustive
22,10,5,4,5,1,3 5 6 7 8 13 15 18 20 22,exhaustive
